时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),气压(Pa),高度(m),经度(),纬度(),GPS地速(km),GPS航向(°),GPS高度(m),卫星数量(),位置定位精度(),水平定位精度(),垂直定位精度(),四元数0(),四元数1(),四元数2(),四元数3()
 11:34:37.058,COM3,, 0.007, -0.002, 0.999, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.167, 2.033, -22.325, 33.45,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.073,COM3,, 0.007, -0.007, 1.000, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.183, 2.058, -22.292, 33.32,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.073,COM3,, 0.003, -0.008, 1.001, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.175, 2.033, -22.283, 33.39,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.093,COM3,, 0.007, -0.006, 1.000, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.183, 2.033, -22.250, 33.20,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.093,COM3,, 0.003, -0.006, 1.001, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.200, 2.042, -22.275, 33.39,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.111,COM3,, 0.004, -0.002, 0.996, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.225, 2.092, -22.325, 33.39,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.126,COM3,, 0.004, -0.007, 1.000, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.225, 2.125, -22.417, 33.32,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.126,COM3,, 0.005, -0.004, 0.999, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.175, 2.117, -22.450, 33.32,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.140,COM3,, 0.005, -0.006, 0.998, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.158, 2.108, -22.483, 33.51,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.155,COM3,, 0.003, -0.005, 1.002, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.167, 2.108, -22.542, 33.45,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.155,COM3,, 0.004, -0.006, 1.000, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.175, 2.108, -22.567, 33.51,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.171,COM3,, 0.004, -0.005, 1.000, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.200, 2.100, -22.558, 33.58,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.173,COM3,, 0.006, -0.006, 1.002, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.225, 2.075, -22.550, 33.39,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.188,COM3,, 0.007, -0.003, 0.996, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.208, 2.033, -22.517, 33.51,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.207,COM3,, 0.006, -0.008, 1.000, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.183, 2.008, -22.467, 33.39,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.207,COM3,, 0.005, -0.007, 0.997, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.225, 1.992, -22.517, 33.32,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.222,COM3,, 0.006, -0.006, 1.001, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.233, 2.017, -22.625, 33.51,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.222,COM3,, 0.007, -0.006, 0.999, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.250, 2.042, -22.683, 33.32,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
 11:34:37.238,COM3,, 0.005, -0.006, 0.999, 0.000, 0.000, 0.000, -0.341, -0.330, -78.316, -10.258, 2.033, -22.733, 33.32,,,,,,,,,,,, -0.77533, 0.00412, 0.00034, 0.63147,
