时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),气压(Pa),高度(m),经度(),纬度(),GPS地速(km),GPS航向(°),GPS高度(m),卫星数量(),位置定位精度(),水平定位精度(),垂直定位精度(),四元数0(),四元数1(),四元数2(),四元数3()
 12:57:50.180,COM3,, -0.002, 0.004, 0.998, 0.000, 0.000, 0.000, 0.033, -0.005, -110.385, -19.083, -7.050, -22.300, 31.87,,,,,,,,,,,, 0.57080, 0.00012, -0.00031, -0.82104,
 12:57:50.180,COM3,, 0.000, 0.001, 0.996, 0.000, 0.000, 0.000, 0.033, -0.005, -110.385, -19.075, -7.083, -22.308, 31.75,,,,,,,,,,,, 0.57080, 0.00012, -0.00031, -0.82104,
 12:57:50.196,COM3,, 0.001, 0.002, 0.998, 0.000, 0.000, 0.000, 0.033, -0.005, -110.385, -19.067, -7.108, -22.292, 31.68,,,,,,,,,,,, 0.57080, 0.00012, -0.00031, -0.82104,
 12:57:50.196,COM3,, -0.001, 0.002, 0.999, 0.000, 0.000, 0.000, 0.033, -0.005, -110.385, -19.058, -7.117, -22.275, 31.62,,,,,,,,,,,, 0.57080, 0.00012, -0.00031, -0.82104,
 12:57:50.212,COM3,, -0.001, 0.002, 1.006, 0.000, 0.000, 0.000, 0.033, -0.005, -110.385, -19.092, -7.100, -22.317, 31.75,,,,,,,,,,,, 0.57080, 0.00012, -0.00031, -0.82104,
 12:57:50.227,COM3,, 0.000, 0.000, 1.003, 0.000, 0.000, 0.000, 0.033, -0.005, -110.385, -19.142, -7.058, -22.375, 32.00,,,,,,,,,,,, 0.57080, 0.00012, -0.00031, -0.82104,
 12:57:50.227,COM3,, 0.000, 0.000, 0.999, 0.000, 0.000, 0.000, 0.033, -0.005, -110.385, -19.183, -7.017, -22.400, 31.68,,,,,,,,,,,, 0.57080, 0.00012, -0.00031, -0.82104,
 12:57:50.243,COM3,, 0.000, 0.002, 1.001, 0.000, 0.000, 0.000, 0.033, -0.005, -110.385, -19.183, -7.008, -22.383, 31.94,,,,,,,,,,,, 0.57080, 0.00012, -0.00031, -0.82104,
 12:57:50.259,COM3,, -0.002, 0.002, 1.000, 0.000, 0.000, 0.000, 0.033, -0.005, -110.385, -19.133, -7.033, -22.325, 31.94,,,,,,,,,,,, 0.57080, 0.00012, -0.00031, -0.82104,
 12:57:50.259,COM3,, -0.001, 0.001, 0.999, 0.000, 0.000, 0.000, 0.033, -0.005, -110.385, -19.050, -7.083, -22.283, 31.87,,,,,,,,,,,, 0.57080, 0.00012, -0.00031, -0.82104,
 12:57:50.274,COM3,, 0.001, 0.002, 1.000, 0.000, 0.000, 0.000, 0.033, -0.005, -110.385, -18.975, -7.083, -22.258, 31.62,,,,,,,,,,,, 0.57080, 0.00012, -0.00031, -0.82104,
