时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),气压(Pa),高度(m),经度(),纬度(),GPS地速(km),GPS航向(°),GPS高度(m),卫星数量(),位置定位精度(),水平定位精度(),垂直定位精度(),四元数0(),四元数1(),四元数2(),四元数3()
 12:49:30.163,COM3,, 0.005, -0.001, 1.002, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.092, -5.050, -22.200, 31.87,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
 12:49:30.163,COM3,, 0.002, 0.001, 1.002, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.067, -5.075, -22.158, 31.87,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
 12:49:30.178,COM3,, 0.001, -0.004, 0.998, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.092, -5.108, -22.200, 31.62,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
 12:49:30.178,COM3,, 0.002, -0.002, 1.001, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.083, -5.133, -22.275, 31.75,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
 12:49:30.194,COM3,, 0.003, -0.002, 1.000, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.083, -5.150, -22.292, 31.68,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
 12:49:30.210,COM3,, 0.003, -0.001, 1.001, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.117, -5.133, -22.283, 32.00,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
 12:49:30.210,COM3,, 0.000, 0.000, 0.998, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.117, -5.100, -22.275, 31.62,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
 12:49:30.225,COM3,, 0.004, -0.003, 1.000, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.117, -5.058, -22.308, 31.75,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
 12:49:30.241,COM3,, 0.001, -0.001, 1.001, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.133, -5.025, -22.375, 31.62,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
 12:49:30.241,COM3,, 0.002, 0.000, 0.999, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.158, -5.008, -22.417, 31.37,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
 12:49:30.257,COM3,, 0.003, -0.003, 1.002, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.208, -5.033, -22.450, 31.75,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
 12:49:30.257,COM3,, 0.004, 0.000, 1.000, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.275, -5.033, -22.442, 31.62,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
 12:49:30.272,COM3,, 0.003, -0.004, 0.999, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.258, -5.042, -22.375, 31.68,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
 12:49:30.288,COM3,, 0.003, 0.000, 0.997, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.225, -5.075, -22.325, 31.68,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
 12:49:30.294,COM3,, 0.002, -0.001, 1.004, 0.000, 0.000, 0.000, -0.093, -0.170, -109.902, -14.200, -5.067, -22.283, 31.62,,,,,,,,,,,, 0.57422, -0.00174, -0.00015, -0.81863,
